id|cocktail_id|ingredient_id|portion|created_at|updated_at
1139|241|103|4 oz|2022-12-10 17:54:42.75788|2022-12-10 17:54:42.75788
1140|242|139|""|2022-12-10 17:54:42.76339|2022-12-10 17:54:42.76339
1141|242|83|Juice of 1/2|2022-12-10 17:54:42.768908|2022-12-10 17:54:42.768908
1142|242|16|1 jigger|2022-12-10 17:54:42.774184|2022-12-10 17:54:42.774184
1143|242|141|""|2022-12-10 17:54:42.779426|2022-12-10 17:54:42.779426
1144|243|44|1/3|2022-12-10 17:54:42.784918|2022-12-10 17:54:42.784918
1145|243|16|1/3|2022-12-10 17:54:42.790347|2022-12-10 17:54:42.790347
1146|243|189|1/3|2022-12-10 17:54:42.797338|2022-12-10 17:54:42.797338
1147|244|68|8 oz|2022-12-10 17:54:42.804438|2022-12-10 17:54:42.804438
1148|244|16|3/4 oz|2022-12-10 17:54:42.810247|2022-12-10 17:54:42.810247
1149|244|216|1/2 oz|2022-12-10 17:54:42.920046|2022-12-10 17:54:42.920046
1150|245|16|1/2 oz|2022-12-10 17:54:42.925953|2022-12-10 17:54:42.925953
1151|245|137|2 oz|2022-12-10 17:54:42.932012|2022-12-10 17:54:42.932012
1152|245|35|1/2 oz white|2022-12-10 17:54:42.93797|2022-12-10 17:54:42.93797
1153|246|16|1 1/2 oz|2022-12-10 17:54:42.943983|2022-12-10 17:54:42.943983
1154|246|137|1 1/2 oz|2022-12-10 17:54:42.949963|2022-12-10 17:54:42.949963
1155|247|16|4 cl|2022-12-10 17:54:42.955983|2022-12-10 17:54:42.955983
1156|247|217|15 cl|2022-12-10 17:54:43.063517|2022-12-10 17:54:43.063517
1157|247|174|Garnish with|2022-12-10 17:54:43.069799|2022-12-10 17:54:43.069799
1158|247|103|6 cl|2022-12-10 17:54:43.075737|2022-12-10 17:54:43.075737
1159|248|56|1|2022-12-10 17:54:43.081834|2022-12-10 17:54:43.081834
1160|248|16|1 1/2 oz|2022-12-10 17:54:43.087608|2022-12-10 17:54:43.087608
1161|249|16|1 1/2 oz|2022-12-10 17:54:43.093501|2022-12-10 17:54:43.093501
1162|249|166|""|2022-12-10 17:54:43.099342|2022-12-10 17:54:43.099342
1163|249|30|1/2 oz|2022-12-10 17:54:43.105157|2022-12-10 17:54:43.105157
1164|250|16|1 1/2 oz|2022-12-10 17:54:43.113726|2022-12-10 17:54:43.113726
1165|250|180|3 oz|2022-12-10 17:54:43.11961|2022-12-10 17:54:43.11961
1166|251|16|1 1/2 oz|2022-12-10 17:54:43.125828|2022-12-10 17:54:43.125828
1167|251|210|3/4 oz|2022-12-10 17:54:43.131664|2022-12-10 17:54:43.131664
1168|252|16|1 part|2022-12-10 17:54:43.137476|2022-12-10 17:54:43.137476
1169|252|180|1 part|2022-12-10 17:54:43.143156|2022-12-10 17:54:43.143156
1170|252|103|1 part|2022-12-10 17:54:43.149032|2022-12-10 17:54:43.149032
1171|253|21|2 oz|2022-12-10 17:54:43.156562|2022-12-10 17:54:43.156562
1172|253|16|2 oz|2022-12-10 17:54:43.163399|2022-12-10 17:54:43.163399
1173|253|180|2 oz|2022-12-10 17:54:43.169347|2022-12-10 17:54:43.169347
1174|253|103|Add splash|2022-12-10 17:54:43.175123|2022-12-10 17:54:43.175123
1175|254|16|1 cl|2022-12-10 17:54:43.181129|2022-12-10 17:54:43.181129
1176|254|36|1/4 cl|2022-12-10 17:54:43.18675|2022-12-10 17:54:43.18675
1177|254|103|4 oz|2022-12-10 17:54:43.192638|2022-12-10 17:54:43.192638
1178|256|17|6 oz hot|2022-12-10 17:54:43.19921|2022-12-10 17:54:43.19921
1179|256|16|2 oz|2022-12-10 17:54:43.208322|2022-12-10 17:54:43.208322
1180|256|218|Chilled|2022-12-10 17:54:43.315387|2022-12-10 17:54:43.315387
1181|257|50|1/2 shot|2022-12-10 17:54:43.321222|2022-12-10 17:54:43.321222
1182|257|16|1 dash|2022-12-10 17:54:43.32698|2022-12-10 17:54:43.32698
1183|257|92|1/2 shot|2022-12-10 17:54:43.33283|2022-12-10 17:54:43.33283
1184|258|219|1 oz|2022-12-10 17:54:43.449394|2022-12-10 17:54:43.449394
1185|258|22|1 oz|2022-12-10 17:54:43.45524|2022-12-10 17:54:43.45524
1186|258|16|1 oz|2022-12-10 17:54:43.461097|2022-12-10 17:54:43.461097
1187|258|220|1 oz|2022-12-10 17:54:43.600674|2022-12-10 17:54:43.600674
1188|258|148|1 oz Bacardi|2022-12-10 17:54:43.607138|2022-12-10 17:54:43.607138
1189|259|16|1/2 oz|2022-12-10 17:54:43.612488|2022-12-10 17:54:43.612488
1190|259|137|2 oz|2022-12-10 17:54:43.61793|2022-12-10 17:54:43.61793
1191|259|35|1/2 oz|2022-12-10 17:54:43.623296|2022-12-10 17:54:43.623296
1192|260|44|1 1/2 oz|2022-12-10 17:54:43.628709|2022-12-10 17:54:43.628709
1193|260|16|3/4 oz|2022-12-10 17:54:43.634031|2022-12-10 17:54:43.634031
1194|261|22|1 oz|2022-12-10 17:54:43.640094|2022-12-10 17:54:43.640094
1195|261|16|1 oz|2022-12-10 17:54:43.64844|2022-12-10 17:54:43.64844
1196|261|64|1 oz|2022-12-10 17:54:43.653945|2022-12-10 17:54:43.653945
1197|262|22|1 1/2 oz|2022-12-10 17:54:43.659884|2022-12-10 17:54:43.659884
1198|262|16|3/4 oz|2022-12-10 17:54:43.665664|2022-12-10 17:54:43.665664
1199|263|50|2 1/2 parts|2022-12-10 17:54:43.671359|2022-12-10 17:54:43.671359
1200|263|26|1 part|2022-12-10 17:54:43.676793|2022-12-10 17:54:43.676793
1201|263|16|1 part|2022-12-10 17:54:43.682138|2022-12-10 17:54:43.682138
1202|263|221|1 part|2022-12-10 17:54:43.788481|2022-12-10 17:54:43.788481
1203|264|16|1 oz|2022-12-10 17:54:43.793917|2022-12-10 17:54:43.793917
1204|264|222|1 oz|2022-12-10 17:54:43.904505|2022-12-10 17:54:43.904505
1205|265|22|1 shot|2022-12-10 17:54:43.910409|2022-12-10 17:54:43.910409
1206|265|16|1 shot|2022-12-10 17:54:43.915826|2022-12-10 17:54:43.915826
1207|265|45|1 shot|2022-12-10 17:54:43.921385|2022-12-10 17:54:43.921385
1208|265|9|1 shot|2022-12-10 17:54:43.926668|2022-12-10 17:54:43.926668
1209|265|78|""|2022-12-10 17:54:43.932156|2022-12-10 17:54:43.932156
1210|266|219|3/4 bottle|2022-12-10 17:54:43.938066|2022-12-10 17:54:43.938066
1211|266|16|1 shot|2022-12-10 17:54:43.943653|2022-12-10 17:54:43.943653
1212|266|103|1 oz|2022-12-10 17:54:43.951537|2022-12-10 17:54:43.951537
1213|267|16|1 shot|2022-12-10 17:54:43.958248|2022-12-10 17:54:43.958248
1214|267|223|1 shot|2022-12-10 17:54:44.068816|2022-12-10 17:54:44.068816
1215|267|78|1 shot|2022-12-10 17:54:44.075144|2022-12-10 17:54:44.075144
1216|268|68|8 oz|2022-12-10 17:54:44.080906|2022-12-10 17:54:44.080906
