id|name|description|instructions|glass_type|thumbnail|portions
391|Baby Eskimo||Leave ice-cream out for about 10 minutes. Add ingredients in order, stir with chopstick (butter knife or spoon works too). Consume immediately and often. Nice and light, great for following a heavy drink.|Collins Glass|https://www.thecocktaildb.com/images/media/drink/wywrtw1472720227.jpg|"{""Milk"": ""8 oz "", ""Kahlua"": ""2 oz "", ""Vanilla ice-cream"": ""2 scoops ""}"
392|Baby Guinness||"Pour Kahlua, almost filling shot glass. Then, carefully pour Baileys, using wall of shot glass. This will give the ""Guinness"" its ""head""."|Shot glass|https://www.thecocktaildb.com/images/media/drink/rvyvxs1473482359.jpg|"{""Kahlua"": ""2 1/2 oz "", ""Baileys irish cream"": ""1/2 oz ""}"
393|Blind Russian||Fill glass with ice. Add all liquers. Add milk. shake.|Collins glass|https://www.thecocktaildb.com/images/media/drink/wxuqvr1472720408.jpg|"{""Milk"": "" to fill\n"", ""Kahlua"": ""3/4 oz "", ""Godiva liqueur"": ""3/4 oz "", ""Baileys irish cream"": ""3/4 oz "", ""Butterscotch schnapps"": ""1/2 oz ""}"
394|Bruce's Puce||In a regular-sized shot glass, layer, with a spoon or cherry, the grenadine , the Kahlua , then the Bailey's Irish cream in equal portions. It goes down really smooth ,and you don't even need a chaser. It tastes just like chocolate milk.(Really!)|Shot glass|https://www.thecocktaildb.com/images/media/drink/svsvqv1473344558.jpg|"{""Kahlua"": null, ""Grenadine"": null, ""Baileys irish cream"": null}"
395|Bumble Bee||This is a layered shot. First pour the Bailey's into the shot glass. Then take an upside down spoon and touch it to the inside wall of the glass. Carefully add the Kahlua. Repeat this process for the Sambuca. If done properly, the alcohol will stay separated and resemble a bumble bee. Enjoy!!!|Shot glass|https://www.thecocktaildb.com/images/media/drink/uwqpvv1461866378.jpg|"{""Kahlua"": ""1/3 oz "", ""Sambuca"": ""1/3 oz "", ""Baileys irish cream"": ""1/3 oz ""}"
396|California Root Beer||Put Kahlua and Galliano in highball glass fill with soda|Highball glass|https://www.thecocktaildb.com/images/media/drink/rsxuyr1472719526.jpg|"{""Kahlua"": ""3/4 oz "", ""Galliano"": ""3/4 oz "", ""Soda water"": ""Fill with ""}"
397|Dirty Nipple||This is a layered shot - the Bailey's must be on top|Shot glass|https://www.thecocktaildb.com/images/media/drink/vtyqrt1461866508.jpg|"{""Kahlua"": null, ""Sambuca"": null, ""Baileys irish cream"": null}"
398|Flaming Lamborghini||Pour the Sambuca and Kahlua into the Cocktail Glass and give the drinker a straw. Pour the Baileys and Blue Curacao into two sepsrate shot glasses either side of the cocktail glass. Set light the concotion in the cocktail glass and start to drink through the straw (this drink should be drunk in one) , as the bottom of the glass is reached put out the fire by pouring the Baileys and Blue Curacao into the cocktail glass and keep drinking till it's all gone!!|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/yywpss1461866587.jpg|"{""Kahlua"": ""1 oz "", ""Sambuca"": ""1 oz "", ""Blue Curacao"": ""1 oz "", ""Baileys irish cream"": ""1 oz ""}"
402|Oatmeal Cookie||"Just mix it all together.
It's meant to be a shot, but it works just fine as a proper adult-sized drink over lots of ice.

Tastes like an oatmeal cookie."|Mason jar|https://www.thecocktaildb.com/images/media/drink/bsvmlg1515792693.jpg|"{""Kahlua"": ""2 parts"", ""Goldschlager"": ""1/2 part"", ""Jagermeister"": ""1 part"", ""Baileys irish cream"": ""2 parts"", ""Butterscotch schnapps"": ""4 parts""}"
403|Quick F**K||In a shot glass add 1/3 Kahlua first. Then 1/3 Miduri, topping it off with a 1/3 bailey's irish cream|Shot glass|https://www.thecocktaildb.com/images/media/drink/wvtwpp1478963454.jpg|"{""Kahlua"": ""1 part "", ""Baileys irish cream"": ""1 part "", ""Midori melon liqueur"": ""1 part ""}"
404|Hot Creamy Bush||Combine all ingredients in glass|Irish coffee cup|https://www.thecocktaildb.com/images/media/drink/spvrtp1472668037.jpg|"{""Coffee"": ""6 oz hot "", ""Irish whiskey"": ""1 shot "", ""Baileys irish cream"": ""3/4 shot ""}"
405|Irish Coffee||Heat the coffee, whiskey and sugar; do not boil. Pour into glass and top with cream; serve hot.|Irish coffee cup|https://www.thecocktaildb.com/images/media/drink/sywsqw1439906999.jpg|"{""Sugar"": ""1 tsp "", ""Coffee"": ""8 oz "", ""Irish whiskey"": ""1 1/2 oz "", ""Whipped cream"": ""1 tblsp ""}"
406|Irish Spring||Pour all ingredients (except orange slice and cherry) into a collins glass over ice cubes. Garnish with the slice of orange, add the cherry on top, and serve.|Collins glass|https://www.thecocktaildb.com/images/media/drink/sot8v41504884783.jpg|"{""Cherry"": ""1 "", ""Orange"": ""1 slice "", ""Orange juice"": ""1 oz "", ""Peach brandy"": ""1/2 oz "", ""Irish whiskey"": ""1 oz "", ""Sweet and sour"": ""1 oz ""}"
407|Jack Rose Cocktail||Shake all ingredients with ice, strain into a cocktail glass, and serve.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/uuqqrv1439907068.jpg|"{""Lime"": ""Juice of 1/2 "", ""Grenadine"": ""1 tsp "", ""Apple brandy"": ""1 1/2 oz ""}"
408|Black Forest Shake||In a blender put ice cubes, chocolate syrup, cherry brandy, vodka, and milk. Blend very well.|Collins Glass|https://www.thecocktaildb.com/images/media/drink/xxtxsu1472720505.jpg|"{""Ice"": ""cubes"", ""Milk"": null, ""Vodka"": null, ""Cherry brandy"": null, ""Chocolate syrup"": null}"
409|Chocolate Monkey||blend liqeuors with ice-cream, milk and syrup. pour into parfait glass, top with whipped cream and garnish with banana and cherry.|Parfait glass|https://www.thecocktaildb.com/images/media/drink/tyvpxt1468875212.jpg|"{""Banana"": ""1 piece "", ""Cherry"": ""1 "", ""Whipped cream"": ""1 "", ""Banana liqueur"": ""1 shot "", ""Chocolate milk"": ""4 oz "", ""Creme de Cacao"": ""2 shots "", ""Chocolate syrup"": ""1 oz "", ""Chocolate ice-cream"": ""2 scoops ""}"
410|Grasshopper||Pour ingredients into a cocktail shaker with ice. Shake briskly and then strain into a chilled cocktail glass.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/aqm9el1504369613.jpg|"{""Light cream"": ""3/4 oz "", ""Creme de Cacao"": ""3/4 oz white "", ""Green Creme de Menthe"": ""3/4 oz ""}"
